airport,Airport Name,MinRWYlength,Taxi_In,Taxi_In fuel,taxi_in_seconds
GCLP,LAS PALMAS,10171.0,4.0343254735,48.41,242.05952841
GCLP,LAS PALMAS,10171.0,4.0343254735,48.41,242.05952841
GCRR,ARRECIFE LANZAROTE,7874.0,4.0246022289,48.3,241.476133734
GCTS,TENERIFE SUR/REINA SOFIA,10499.0,5.1277235713,61.53,307.663414278
GCXO,TENERIFE NORTE,10404.0,3.596701989,43.16,215.80211934
GFLL,,10498.0,4.0,48.0,240.0
GLRB,,11000.0,4.0,48.0,240.0
GMAD,AGADIR/AL-MASSIRA,10499.0,4.9627836611,59.55,297.76701966599995
GMFF,FES/SAISS,10499.0,3.519010536,42.23,211.14063216
GMFK,,10499.0,4.0,48.0,240.0
GMFO,OUJDA,9843.0,6.8318250377,81.98,409.909502262
GMFO,OUJDA,9843.0,6.8318250377,81.98,409.909502262
GMME,RABAT/SALE,11483.0,5.0816023739,60.98,304.896142434
GMMN,CASABLANCA/MOHAMMED,12205.0,7.0496299521,84.6,422.977797126
GMMN,CASABLANCA/MOHAMMED,12205.0,7.0496299521,84.6,422.977797126
GMMW,NADOR,9842.0,4.4915730337,53.9,269.49438202199997
GMMX,MARRAKECH,10170.0,5.4648300779,65.58,327.889804674
GMTA,,8202.0,4.0,48.0,240.0
GMTN,,7546.0,4.0,48.0,240.0
GMTN,,10784.0,4.0,48.0,240.0
GMTT,TANGER/BOUKHALF,6562.0,5.9326075687,71.19,355.95645412199997
GMTT,TANGER/BOUKHALF,11483.0,5.9326075687,71.19,355.95645412199997
GOBD,DAKAR - BLAISE DIAGNE,11483.0,5.6104,67.32,336.624
GQNO,NOUAKCHOTT-OUMTOUNSY,7875.0,4.2972972973,51.57,257.837837838
GQNO,NOUAKCHOTT-OUMTOUNSY,11155.0,4.2972972973,51.57,257.837837838
GUCY,CONAKRY/GBESSIA,10826.0,5.1961722488,62.35,311.770334928
GVAC,AMILCAR CABRAL,9843.0,4.9580536913,59.5,297.483221478
GVAC,AMILCAR CABRAL,4921.0,4.9580536913,59.5,297.483221478
GVNP,NEW PRAIA AIRPORT,6890.0,3.3151041667,39.78,198.90625000199998
GVNP,NEW PRAIA AIRPORT,4209.0,3.3151041667,39.78,198.90625000199998
GVNP,NEW PRAIA AIRPORT,6876.0,3.3151041667,39.78,198.90625000199998
GVSV,SAO PEDRO/CESARIA EVORA INTERNATIONAL,6561.0,3.670995671,44.05,220.25974026
HDAM,DIJBOUTI AMBOULI,10335.0,5.4655172414,65.59,327.931034484
HEBA,BORG EL ARAB INTERNATIONAL,11156.0,6.474916388,77.7,388.49498328
HEBA,BORG EL ARAB INTERNATIONAL,1347.0,6.474916388,77.7,388.49498328
HEBA,BORG EL ARAB INTERNATIONAL,1347.0,6.474916388,77.7,388.49498328
GVBA,,6890.0,4.0,48.0,240.0
HAAB,,12139.0,4.0,48.0,240.0
HAAB,,12467.0,4.0,48.0,240.0
HCMM,,10446.0,4.0,48.0,240.0
HECA,CAIRO,13120.0,8.2529411765,99.04,495.17647059
HECA,CAIRO,10830.0,8.2529411765,99.04,495.17647059
HECA,CAIRO,13124.0,8.2529411765,99.04,495.17647059
HEGN,HURGHADA,13171.0,5.9049840412,70.86,354.299042472
HEGN,HURGHADA,13168.0,5.9049840412,70.86,354.299042472
HEMA,MARSA ALAM INTL,11253.0,5.6560232221,67.87,339.361393326
HESH,SHARM EL SHEIKH,10108.0,5.8742647059,70.49,352.455882354
HESH,SHARM EL SHEIKH,10108.0,5.8742647059,70.49,352.455882354
HKJK,NAIROBI,13507.0,10.7627388535,129.15,645.76433121
HHAS,,9842.0,4.0,48.0,240.0
HHAS,,5951.0,4.0,48.0,240.0
